,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,RF3,Mkt
197201,13.9605,17.3173,15.4658,13.6216,18.156,8.8876,7.575,5.6419,7.7694,10.7498,5.9796,4.3477,3.1082,5.817,8.275,3.0811,1.9971,1.8913,3.8144,8.8336,2.6521,0.7174,-0.1757,1.4016,6.0667,0.343333333,2.78
197202,4.3325,5.6137,5.6134,4.6496,5.3933,6.1769,4.6054,4.5534,1.688,3.0528,5.6848,3.9583,1.454,-0.7249,2.1341,5.7737,2.4297,-0.1163,2.28,1.6039,5.4565,2.4972,0.493,2.483,1.7434,0.303333333,3.12
197203,2.0666,-0.1088,-1.8081,-1.6056,-0.1329,1.3744,1.6173,-1.0619,0.129,-1.8137,2.2576,0.9367,1.8376,0.6051,-1.2167,1.0649,-0.1646,2.0223,1.7894,-0.0497,0.0869,1.1835,-1.1211,-2.2354,1.8341,0.27,0.9
197204,-1.8512,-0.6717,-2.0231,0.9071,0.841,-1.1585,0.3836,2.6538,1.5184,1.1396,1.0368,-0.6349,-0.2585,0.559,-0.601,-1.0999,-0.6175,0.5091,1.1876,3.8873,1.3797,0.6677,-0.0017,0.9827,0.2417,0.27,0.58
197205,-3.993,-2.6762,-4.082,-2.4634,-2.5954,-3.0074,-1.7625,-2.3314,-3.8464,-3.2162,-0.7707,-2.5168,0.0771,-0.8679,-4.5197,2.3558,-1.5441,-1.3815,-0.2965,0.1493,3.547,-0.5203,-0.5124,0.0495,-1.1756,0.286666667,1.55
197206,-4.0841,-5.0399,-3.6117,-3.8175,-4.0267,-4.6408,-2.2804,-1.5234,-1.8414,-2.0808,-2.3388,-2.1614,-3.7589,-3.6828,-5.8942,-3.8849,-2.3491,-2.3255,-3.6294,-7.4202,-0.9779,-3.0724,-4.1843,-3.8009,-7.2862,0.293333333,-2.14
197207,-5.6128,-4.7406,-3.575,-3.0662,-2.5437,-4.7851,-5.0074,-3.1551,-1.7263,-3.8965,-3.7638,-1.4529,-3.304,-0.5025,-0.2846,-3.6643,-4.0994,-1.667,-0.4029,-1.693,-0.5069,-1.1716,-1.082,-2.0272,-1.858,0.3,-0.49
197208,-1.5646,-1.7117,0.3125,-0.4935,1.3103,-0.9625,-1.7869,2.4546,1.6391,4.834,0.0303,2.0292,3.3373,5.0096,4.1838,-0.3687,2.7875,4.8539,4.9396,7.3441,1.5467,6.7353,5.5394,7.561,6.4145,0.296666667,3.55
197209,-5.6157,-4.6403,-4.9593,-4.2432,-3.4853,-3.9032,-3.5525,-2.3632,-2.4224,-3.0582,-0.9874,-2.4107,-1.0196,-1.9894,-2.4059,-2.2816,-3.3475,-1.2935,-2.3162,-4.1423,-1.1231,-1.6239,-2.313,-0.6275,-3.9176,0.313333333,-0.8
197210,-2.4477,-4.3235,-2.5403,-3.1578,-2.5609,-4.1458,-0.8789,1.161,0.8018,-0.3986,-3.0122,-1.259,1.5113,0.3671,0.184,-2.0434,-1.1992,1.8812,1.8309,-1.0614,1.0253,3.2017,1.4967,1.7838,1.4524,0.343333333,0.92
197211,0.5234,3.7019,3.9389,4.7233,4.6459,5.1249,4.9249,6.6199,4.969,7.8357,3.4531,4.4765,6.5552,7.8192,8.2335,6.7654,8.8279,6.3971,7.4337,11.4432,3.0096,6.8605,6.9535,8.5963,13.1923,0.37,4.97
197212,-3.2825,-3.3714,-3.9927,-3.1139,-2.8237,-1.1318,-2.9428,-0.7952,-3.4395,-2.3291,0.9033,-0.6073,-0.4195,-1.3424,-2.7124,0.8784,-1.2962,-1.3726,-1.4157,-4.7263,2.7625,-0.6142,-2.1634,-2.7537,-2.8354,0.38,0.99
197301,-6.5717,-4.2918,-2.0855,-1.7101,0.3639,-11.1708,-5.4375,-5.7111,-2.9254,-5.815,-8.0159,-8.6189,-5.9486,-3.9212,-4.797,-6.9366,-7.7135,-5.7829,-3.8516,-4.2477,-5.2864,-5.3913,-6.0012,-3.0485,-4.8195,0.393333333,-2.85
197302,-11.9401,-8.8599,-8.4873,-7.9063,-6.2329,-14.3154,-8.4254,-8.3651,-6.1474,-5.3571,-11.4048,-8.2682,-8.1476,-3.2706,-6.833,-9.4034,-7.4017,-4.7421,-4.0573,-2.2596,-4.629,-3.4737,-4.7382,-3.6081,-2.9027,0.406666667,-4.44
197303,-7.0994,-4.0345,-2.3058,-1.9962,-1.572,-5.6786,-3.3819,-2.7217,-2.6045,-0.2507,-5.2859,-4.951,-2.2646,-1.7201,-0.3659,-4.3201,-4.4796,-1.6843,-2.412,1.5478,-1.6084,-2.1108,-0.2473,1.0459,1.117,0.436666667,-0.84
197304,-12.2328,-9.5762,-7.4015,-7.074,-5.1894,-14.9601,-8.7854,-5.2452,-4.8266,-5.2151,-12.6139,-7.4051,-4.4366,-4.4718,-4.0185,-11.6842,-8.7752,-3.6685,-3.2424,-4.7757,-7.3461,-4.421,-4.8093,-2.6659,-3.1027,0.463333333,-5.16
197305,-11.9295,-11.9575,-10.4717,-8.8347,-9.5547,-12.1125,-9.9671,-8.6505,-6.5406,-9.0804,-9.1956,-8.9888,-5.6852,-4.2716,-7.681,-8.3547,-8.2113,-3.4543,-2.8886,-4.7947,-2.1501,-1.9823,-2.4428,-2.7651,-6.1837,0.496666667,-2.43
197306,-5.3595,-3.7778,-5.317,-2.981,-1.6172,-6.9701,-3.9283,-2.7472,-2.5281,-2.1889,-6.4913,-2.9819,-2.7144,-1.3517,-2.9565,-4.4484,-4.5621,-3.5937,-1.1349,-3.2892,-3.1528,-1.2879,-2.0274,-2.2129,-1.8744,0.513333333,-1.05
197307,18.4855,16.6464,13.041,13.9831,9.9277,22.5958,14.2946,11.4216,6.5827,9.5002,19.7582,9.7599,7.7387,2.3248,7.4436,15.5442,8.7882,6.7059,3.0614,10.0356,8.8991,7.4815,2.9734,4.1684,5.1189,0.553333333,5.69
197308,-5.1999,-6.8516,-5.9114,-5.6227,-4.5423,-3.0044,-6.5405,-4.8192,-5.04,-3.8342,-2.7123,-3.7993,-4.0875,-2.8115,-0.5672,-2.3843,-1.1736,-2.3509,-2.7374,0.1076,-2.5535,-2.319,-2.0043,-0.6448,0.2027,0.616666667,-3.12
197309,12.0342,9.8252,6.4589,6.5346,5.5081,11.8815,10.8828,12.0684,6.7964,9.8495,10.5408,10.2955,10.1629,8.84,10.739,10.3415,11.0879,11.4807,9.5481,11.1963,4.8038,9.5009,10.5578,8.1999,8.1212,0.673333333,5.43
197310,-2.1623,0.8177,1.1486,0.6884,1.3157,-3.915,-4.1521,1.9737,1.2639,1.611,-4.3777,2.0858,0.627,-0.7292,1.0002,-2.8767,-0.5912,0.8618,-0.5869,2.5939,-1.8603,-0.9747,-1.2802,0.1779,1.9588,0.676666667,-0.18
197311,-24.1032,-22.1591,-18.7439,-17.5973,-17.8986,-23.9545,-20.4916,-18.3685,-15.1557,-16.0185,-22.9217,-17.707,-15.5966,-12.0264,-14.9359,-20.6392,-17.4412,-14.1877,-11.7424,-15.5013,-13.3306,-12.5842,-12.0893,-10.4711,-8.1723,0.63,-12.19
