,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,RF3,Mkt
198607,-10.1831,-8.951,-8.0456,-6.0596,-8.7376,-11.4602,-9.9384,-8.7493,-4.6803,-7.0962,-9.6777,-7.9805,-8.0829,-5.9825,-4.9759,-8.7904,-7.4655,-7.1159,-4.7203,-4.4741,-7.0383,-5.9131,-4.8675,-2.4601,-2.6119,0.51,-5.93
198608,0.2995,0.5567,2.0414,1.8882,1.7878,2.4102,4.341,3.9853,5.7385,4.8314,4.4351,3.4786,6.0489,7.2919,8.4693,4.5091,6.5844,7.1764,10.1885,9.4552,4.5085,6.5004,6.1567,10.2014,10.7879,0.5,6.53
198609,-8.1105,-6.3568,-5.4809,-4.472,-3.1446,-8.7376,-6.3863,-4.8478,-2.6634,-5.8824,-8.0533,-7.838,-4.5599,-4.793,-5.3365,-9.3691,-5.5831,-6.9377,-6.7273,-5.9124,-10.2917,-10.942,-7.784,-8.0023,-6.4592,0.476666667,-8.15
198610,1.9477,2.54,2.1622,3.026,1.152,6.3678,4.2816,3.5092,2.9532,1.5952,5.7534,2.4699,1.1712,2.0575,3.0518,5.8089,5.3591,5.7583,5.8134,4.2436,4.9477,7.0332,6.3677,4.7404,6.0545,0.456666667,5.12
198611,-2.2938,0.1483,0.4579,-0.108,1.2716,0.3738,0.4138,-0.5098,-2.219,-0.0555,0.0719,0.2692,-1.2238,1.4995,-0.3018,1.0774,1.6318,1.5222,-0.9507,1.1407,2.7329,1.8745,2.8369,2.4679,1.652,0.433333333,1.56
198612,-5.6762,-1.8661,-3.9137,-1.5967,-3.4507,-3.0445,-2.1576,-3.2458,-3.4901,0.6178,-2.6045,-1.8722,-3.6522,-2.1298,-0.7908,-4.5317,-2.9648,-2.7364,-2.6143,-3.3046,-1.7171,-2.5108,-4.311,-2.8072,-2.9364,0.446666667,-2.78
198701,10.9421,9.843,11.5411,9.9525,9.451,13.6201,12.3623,10.6431,10.0212,10.8506,13.83,13.423,8.8057,10.1698,9.5491,13.9008,13.0459,10.3076,12.2992,11.6114,13.3413,16.5312,11.3435,12.4685,11.9224,0.433333333,12.89
198702,10.5624,8.5234,6.9034,7.0887,6.6102,9.8868,9.053,6.4113,5.9228,5.4887,8.9914,8.1684,5.1054,4.1837,4.2037,7.4594,6.703,6.5537,3.2017,2.6185,8.2035,5.9703,2.855,-0.4249,-1.0734,0.446666667,4.82
198703,1.7423,3.3762,2.395,3.5217,4.7261,0.8588,3.3125,1.5146,2.8751,3.5013,0.173,1.5333,1.0986,2.4836,3.3867,1.887,1.7938,1.8554,2.0475,-1.2764,1.5556,2.2655,0.4432,3.0013,4.8035,0.44,2.11
198704,-2.2411,-2.7125,-2.2247,-0.5827,-1.3042,-3.8771,-2.5831,-2.9853,-3.8047,-4.8716,-1.9879,-2.3047,-4.5482,-2.0046,-2.591,-3.6986,-2.4364,-2.5202,-2.0162,-1.5805,-1.3506,-1.1568,-2.1523,-0.7317,-0.4975,0.446666667,-1.67
198705,-0.2743,-1.5446,0.1678,0.5827,3.1564,-0.9624,0.0569,-0.0325,0.3247,0.5999,0.9579,0.0811,-0.4875,0.4378,0.3876,2.075,0.4089,-0.3367,-0.487,0.8112,1.9066,-0.5479,-0.0449,0.776,0.5196,0.43,0.49
198706,-0.2981,1.9585,2.6892,1.9947,4.255,1.6632,3.1308,3.6593,3.0822,4.1808,2.0626,2.1674,5.5701,5.2618,2.3969,4.7096,3.2895,4.3049,4.0995,3.7158,4.7307,5.4204,6.1304,5.1825,5.2802,0.433333333,4.42
198707,1.8001,2.0457,2.0573,2.9199,5.341,2.2018,2.1841,3.7213,3.4849,5.9029,2.558,4.4277,3.9332,3.4568,7.3164,3.7286,4.7576,4.8159,4.3925,4.8101,6.0609,3.1895,6.2978,2.5592,3.0974,0.44,4.31
198708,0.6898,2.2897,2.8401,2.4542,0.7528,2.8611,3.3174,4.081,2.7257,3.9894,3.8938,3.6023,4.3139,3.659,1.0486,4.7906,4.1131,3.3307,3.3355,1.9216,4.8258,5.2255,3.4722,4.722,2.6312,0.47,3.99
198709,-2.7733,-0.3657,-1.0931,-0.4019,-1.2822,-2.1858,-2.386,-0.7048,-0.7054,-2.595,-3.2801,-2.4359,-1.9494,-2.4447,-1.1138,-2.2261,-0.9976,-2.3747,-1.9296,0.2977,-2.172,-4.0723,0.1718,-1.931,-2.899,0.46,-2.14
198710,-34.2157,-30.9485,-28.7651,-28.8902,-28.8692,-32.7265,-31.6577,-28.4024,-25.3495,-29.1834,-29.7258,-29.0521,-24.3376,-22.9228,-26.2239,-25.9397,-28.8291,-24.9564,-18.2592,-23.6652,-21.6389,-22.4196,-21.7091,-14.8757,-18.9918,0.506666667,-22.64
198711,-8.4893,-4.8767,-4.8152,-4.6279,-3.5067,-7.3211,-4.7312,-3.7055,-3.4545,-2.7851,-6.6615,-2.6622,-2.9569,-3.1394,-3.848,-6.4435,-5.8756,-6.4685,-4.4602,-2.0142,-9.6414,-8.489,-8.2659,-7.6092,-7.5541,0.466666667,-7.42
198712,2.8456,4.8658,5.6027,4.9442,3.3177,11.9494,9.7504,7.2491,6.5525,5.0504,12.437,9.6257,6.3331,4.5492,7.076,12.5156,10.7946,9.499,3.8807,3.5916,8.3536,7.5071,7.9403,3.2397,6.2563,0.446666667,7.2
198801,5.7639,7.5005,4.4406,4.9708,6.4425,1.8384,2.8359,4.9575,4.3547,6.9756,1.3101,3.6034,4.2858,7.5802,6.1257,0.2859,4.2854,4.4371,6.2447,6.2355,2.2766,1.6277,5.4933,8.8406,8.8001,0.343333333,4.5
198802,5.9636,7.7742,7.5623,7.3909,7.5878,8.4558,11.8415,8.87,7.8425,8.1516,8.7124,8.1402,6.9657,7.2559,6.1036,8.5312,9.393,6.2844,4.994,6.3281,4.5828,5.449,4.5571,1.7944,2.7738,0.38,5.21
198803,4.1311,6.0171,5.6801,5.2973,4.9783,2.3369,6.8677,3.8025,3.399,4.5776,2.9182,1.0727,1.1492,-0.0063,1.163,-0.8753,1.1152,-0.2016,-0.0195,4.1457,-4.5885,-4.1022,-3.9113,-3.7286,-1.0014,0.396666667,-1.83
198804,1.019,1.279,2.4463,1.0232,3.9163,2.1315,4.3527,2.9387,1.8513,2.4854,-0.8837,0.2362,1.7414,0.5117,2.4162,0.1984,0.6457,1.3511,-0.957,0.5087,-0.7787,1.0714,1.5367,2.3689,2.3664,0.453333333,1.02
198805,-3.5952,-2.1261,-0.8322,-1.8318,-0.9302,-4.4951,-2.0682,-2.4043,-1.3674,-0.9352,-0.9119,-1.8652,-0.9578,1.3033,0.7954,-0.7539,-0.5803,-0.7554,2.436,1.1263,0.0809,0.2867,-0.1408,2.2078,2.5992,0.47,0.22
198806,6.4944,6.133,6.2116,6.0288,5.0553,7.4709,11.039,8.0782,5.2888,8.5701,6.8799,7.4618,6.2759,6.077,5.9673,7.3548,6.9053,6.6067,3.9838,8.4194,4.1814,6.7807,5.2937,3.0563,3.0391,0.486666667,5.28
198807,-0.9073,-0.3324,-0.8211,0.9592,-1.0651,-2.5376,-2.2957,-0.0982,0.5994,1.1728,-4.2943,-1.8952,-1.3476,-0.2093,-0.3181,-3.2391,-3.6636,0.4087,-1.2577,0.2744,-0.8944,-1.0583,0.539,0.1284,0.9321,0.503333333,-0.74
198808,-4.116,-2.4795,-1.0014,-1.2915,-2.0935,-4.0489,-4.1221,-2.0005,-0.3962,-1.5824,-4.1948,-2.4273,-2.0531,0.102,-1.0756,-3.6386,-3.3377,-0.6245,-0.0732,1.3659,-2.7194,-5.2372,-2.3181,-1.4738,-3.1019,0.53,-2.72
198809,1.2502,2.8012,2.7972,1.6825,2.8197,3.0194,2.6137,2.7614,2.7892,2.8839,3.5829,2.4318,2.5747,1.466,3.282,4.7402,1.083,3.5984,2.1999,4.6877,5.7012,5.3778,2.0895,4.0491,3.977,0.573333333,3.92
198810,-2.8231,-1.6805,-1.2655,-2.2928,-1.0158,-2.4202,-0.5986,0.367,0.1046,-0.5844,-1.4851,0.3692,1.0971,0.6809,2.8931,-1.7074,0.9927,0.5659,1.3106,2.5099,1.8443,5.5692,1.5559,2.3775,4.3417,0.606666667,1.76
198811,-4.9242,-4.8528,-3.3684,-3.2829,-4.3376,-4.2043,-3.1257,-1.9693,-3.1948,-2.124,-2.9719,-2.5042,-3.7185,-0.5448,-1.8119,-1.5476,-2.5376,-3.3147,-1.7735,-0.9702,-1.8792,-1.1446,-1.9145,-0.4263,0.3438,0.6,-1.72
198812,1.8188,4.118,3.4084,4.7517,2.6164,5.1048,4.1797,3.9195,4.9638,2.8863,4.1107,3.4598,3.2568,2.2932,2.8145,3.283,3.1434,1.5821,1.8608,-0.8133,2.6193,2.092,1.7291,0.5113,0.4246,0.603333333,2.12
198901,5.3581,5.9511,4.3277,4.3457,5.5957,3.604,5.6231,4.6516,3.7476,7.3242,4.782,5.4575,5.0113,4.0766,5.3257,4.8437,5.489,6.0747,6.1753,8.2575,7.8312,6.8865,6.3122,6.4851,8.2568,0.583333333,6.65
198902,-1.2009,0.3842,0.959,1.2213,1.7962,0.9834,1.8804,1.2789,0.7763,1.5775,-0.0475,0.6984,0.3915,1.2246,0.0102,-0.3797,0.1608,-0.8549,0.1888,1.3443,-3.0862,-2.8692,-2.5265,-1.6288,-2.5818,0.596666667,-1.64
198903,1.2593,2.7707,4.7665,2.6018,3.0521,1.8065,2.4933,2.271,1.6891,3.1736,2.0746,1.2815,1.5054,3.402,2.5921,-0.3797,1.6552,3.0099,0.9099,3.2149,3.0161,0.5042,3.9025,2.7756,1.1935,0.61,2.24
198904,3.1068,3.2254,3.4262,2.5136,2.9118,4.5558,5.2081,4.7866,2.5853,5.7643,5.3311,4.7995,4.5685,4.1711,3.833,6.5469,5.1251,4.0495,5.3363,5.3071,6.1099,5.3139,4.666,4.4697,3.6675,0.65,5
198905,3.0973,5.4013,1.991,4.147,3.4938,4.854,3.2205,4.3087,3.5881,3.8017,5.6429,4.7398,3.8607,4.1671,4.0408,4.525,2.7652,3.0782,4.4758,6.1537,4.6896,3.1399,4.4956,4.3231,3.3304,0.71,4.14
198906,-3.0527,-1.6059,-2.1937,0.2233,0.5562,-5.0119,-2.0176,-0.246,-0.6075,-1.6848,-3.316,-1.259,-1.4062,0.3212,2.2199,-2.2206,-1.3633,0.4522,1.9623,3.5461,-0.5188,-0.3922,-1.1053,-0.6698,0.7936,0.723333333,-0.64
198907,2.7366,4.8416,2.2937,3.4441,1.4497,5.6515,4.9101,3.0521,3.757,3.468,5.4442,5.0907,3.5436,4.704,3.7749,8.3892,8.5775,6.1426,5.9303,6.6779,11.5567,9.5939,6.9211,7.5292,6.6819,0.733333333,7.9
198908,2.1938,-0.1866,0.6923,2.7296,1.5373,3.6668,3.0057,3.0973,3.5751,2.6972,2.7529,2.8683,4.985,3.215,1.7898,3.5945,3.9195,3.0877,3.6231,1.4526,-0.1149,2.3079,2.9481,1.9269,2.7914,0.716666667,2.18
198909,1.2353,-0.4624,-0.4821,0.823,-0.4561,2.3571,-0.0918,0.8444,0.64,-0.9382,1.379,-1.2753,-1.418,-0.1804,-1.1568,0.18,-2.8346,-3.1894,-0.943,0.5749,1.1566,-0.8794,0.2029,0.6996,-0.3663,0.696666667,-0.11
