date,Mkt-RF,SMB,HML,RF,Mkt
199004,-3.36,-0.51,-2.52,0.69,-2.67
199005,8.42,-2.54,-3.75,0.68,9.1
199006,-1.09,1.4,-2.02,0.63,-0.46
199007,-1.9,-3.21,-0.02,0.68,-1.22
199008,-10.15,-3.59,1.58,0.66,-9.49
199009,-6.12,-3.64,0.77,0.6,-5.52
199010,-1.92,-5.53,0.24,0.68,-1.24
199011,6.35,0.34,-3.14,0.57,6.92
199012,2.46,0.78,-1.6,0.6,3.06
199101,4.69,3.81,-1.83,0.52,5.21
199102,7.19,3.94,-0.53,0.48,7.67
199103,2.65,3.91,-1.21,0.44,3.09
199104,-0.28,0.49,1.37,0.53,0.25
199105,3.65,-0.33,-0.56,0.47,4.12
199106,-4.94,0.07,1.23,0.42,-4.52
199107,4.24,-0.94,-1.3,0.49,4.73
199108,2.32,1.61,-0.78,0.46,2.78
199109,-1.59,1.65,-0.96,0.46,-1.13
199110,1.29,0.91,-0.44,0.42,1.71
199111,-4.19,-0.48,-1.92,0.39,-3.8
199112,10.84,-2.22,-4.01,0.38,11.22
199201,-0.59,8.48,4.56,0.34,-0.25
199202,1.09,0.88,6.37,0.28,1.37
199203,-2.66,-1.04,3.66,0.34,-2.32
199204,1.07,-6.12,4.3,0.32,1.39
199205,0.3,0.39,1.26,0.28,0.58
199206,-2.34,-3.1,3.4,0.32,-2.02
199207,3.77,-0.43,-0.52,0.31,4.08
199208,-2.38,-0.1,-1.02,0.26,-2.12
199209,1.19,0.56,-0.2,0.26,1.45
199210,1.02,2.04,-2.1,0.23,1.25
199211,4.13,3.68,-1.48,0.23,4.36
199212,1.53,1.65,2.54,0.28,1.81
199301,0.93,2.03,5.87,0.23,1.16
199302,0.12,-3.43,6.42,0.22,0.34
199303,2.3,0.24,1.23,0.25,2.55
199304,-3.05,-0.69,2.61,0.24,-2.81
199305,2.89,1.95,-3.42,0.22,3.11
199306,0.31,-0.29,2.63,0.25,0.56
199307,-0.34,0.94,3.23,0.24,-0.1
199308,3.71,0.3,-0.4,0.25,3.96
199309,-0.12,3.11,-0.46,0.26,0.14
199310,1.41,1.45,-1.57,0.22,1.63
199311,-1.89,-1.41,-0.26,0.25,-1.64
199312,1.65,1.22,0.61,0.23,1.88
199401,2.87,0.11,2.1,0.25,3.12
199402,-2.55,2.7,-1.37,0.21,-2.34
199403,-4.78,-0.98,1.3,0.27,-4.51
199404,0.68,-0.92,1.65,0.27,0.95
199405,0.58,-2.01,0.13,0.31,0.89
